Report_MonthYr,c8_14
1/1/2011,11032
2/1/2011,6498
3/1/2011,11617
4/1/2011,8065
5/1/2011,8243
6/1/2011,12609
7/1/2011,14580
8/1/2011,14247
9/1/2011,29698
10/1/2011,35801
11/1/2011,32078
12/1/2011,32997
1/1/2012,10490
2/1/2012,5820
3/1/2012,4908
4/1/2012,5036
5/1/2012,7747
6/1/2012,5291
7/1/2012,6918
8/1/2012,4237
9/1/2012,6115
10/1/2012,12505
11/1/2012,17575
12/1/2012,11091
1/1/2013,9356
2/1/2013,8539
3/1/2013,5937
4/1/2013,5646
5/1/2013,5895
6/1/2013,9735
7/1/2013,15277
8/1/2013,11200
9/1/2013,31935
10/1/2013,32421
11/1/2013,21601
12/1/2013,40330
1/1/2014,20714
2/1/2014,7813
3/1/2014,22974
4/1/2014,8995
5/1/2014,11115
6/1/2014,12927
7/1/2014,8295
8/1/2014,8767
9/1/2014,12107
10/1/2014,12674
11/1/2014,26771
12/1/2014,6706
1/1/2015,8636
2/1/2015,7100
3/1/2015,3873
4/1/2015,4466
5/1/2015,5225
6/1/2015,6849
7/1/2015,14124
8/1/2015,15647
9/1/2015,9697
10/1/2015,8963
11/1/2015,6178
12/1/2015,8037
1/1/2016,3999
2/1/2016,2754
3/1/2016,1637
4/1/2016,6861
5/1/2016,8168
6/1/2016,5990
7/1/2016,6011
8/1/2016,4460
9/1/2016,10567
10/1/2016,12191
11/1/2016,18138
12/1/2016,11683
1/1/2017,13643
2/1/2017,7605
3/1/2017,15796
4/1/2017,15850
5/1/2017,10410
6/1/2017,8351
7/1/2017,6251
8/1/2017,15132
9/1/2017,19329
10/1/2017,21865
11/1/2017,25344
12/1/2017,31583
1/1/2018,20242
2/1/2018,12028
3/1/2018,7021
4/1/2018,9877
5/1/2018,16725
6/1/2018,17020
7/1/2018,27924
8/1/2018,26068.45455
